 0.03700      6.36380230    -22.64089117     -1.29114366 0.16650      0.09691682     27.15690924      2.51970727 0.24050      1.95587040    -19.56353631    -43.55907277
 0.03800      6.14775109    -23.24356008     -1.38667182 0.17100      1.19639142     26.74022412      2.58402070 0.24700      9.36020838    -14.28989006     48.48655341
 0.03900      5.92672304    -23.82378174     -1.47873547 0.17550      2.26414639     25.83818600      2.60008117 0.25350     -1.73967204    -26.94806371    -59.75829134
 0.04000      5.70091088    -24.38109073     -1.56744849 0.18000      3.28100827     24.47169047      2.56880061 0.26000      8.43843970    -16.93338977     65.86084021
 0.04100      5.47051299    -24.91504167     -1.65290959 0.18450      4.22877504     22.66980815      2.49052625 0.26650     -6.42008986    -31.47293772    -81.27422107
 0.04200      5.23573299    -25.42520972     -1.73520392 0.18900      5.09077918     20.46942364      2.36764802 0.27300      7.84843029    -15.37177154     90.06055833
 0.04300      4.99677946    -25.91119105     -1.81440460 0.19350      5.85197960     17.91428822      2.20236073 0.27950    -11.84513576    -33.03449378   -110.06088099
 0.04400      4.75386558    -26.37260332     -1.89057405 0.19800      6.49938834     15.05432792      1.99844058 0.28600      8.23732166     -9.37310964    123.48516613
 0.04500      4.50720882    -26.80908609     -1.96376519 0.20250      7.02215127     11.94453412      1.75964820 0.29250    -17.84568436    -32.15473414   -148.85533067
 0.04600      4.25703061    -27.22030124     -2.03402261 0.20700      7.41184308      8.64403055      1.49092264 0.29900     10.29378018      0.83391320    169.33394270
 0.04700      4.00355610    -27.60593329     -2.10138353 0.21150      7.66250337      5.21485692      1.19722741 0.30550    -24.41081183    -29.95130036   -201.44299973
 0.04800      3.74701377    -27.96568974     -2.16587871 0.21600      7.77080405      1.72089029      0.88433790 0.31200     14.71817276     14.68244131    231.91791047
 0.04900      3.48763523    -28.29930138     -2.22753335 0.22050      7.73601969     -1.77340785      0.55799586 0.31850    -31.77190251    -28.04263984   -273.01081024
 0.05000      3.22565487    -28.60652259     -2.28636778 0.22500      7.56007354     -5.20411866      0.22441576 0.32500     22.21868957     31.46459713    317.09085417
 0.05100      2.96130959    -28.88713151     -2.34239816 0.22950      7.24743202     -8.50907762     -0.11034275 0.33150    -40.47961701    -28.41280519   -370.62399531
 0.05200      2.69483857    -29.14093032     -2.39563713 0.23400      6.80503938    -11.62895609     -0.44005912 0.33800     33.54302398     50.58175709    432.83805168
 0.05300      2.42648291    -29.36774540     -2.44609437 0.23850      6.24213609    -14.50835413     -0.75882176 0.34450    -51.47375366    -33.26878211   -503.87600345
 0.05400      2.15648546    -29.56742747     -2.49377707 0.24300      5.57009646    -17.09675104     -1.06083758 0.35100     49.55316126     71.82258653    590.07515951
 0.05500      1.88509045    -29.73985177     -2.53869047 0.24750      4.80217905    -19.34940883     -1.34078360 0.35750    -66.15120561    -44.92766047   -685.77853776
 0.05600      1.61254332    -29.88491813     -2.58083820 0.25200      3.95328620    -21.22811959     -1.59369430 0.36400     71.34896808     95.64488704    803.72922166
 0.05700      1.33909039    -30.00255105     -2.62022275 0.25650      3.03966116    -22.70186211     -1.81522094 0.37050    -86.44295515    -65.77119685   -933.98217095
 0.05800      1.06497866    -30.09269976     -2.65684575 0.26100      2.07859215    -23.74729172     -2.00156238 0.37700    100.44534896    123.44404290   1094.20095382
 0.05900      0.79045550    -30.15533827     -2.69070832 0.26550      1.08807599    -24.34910998     -2.14964914 0.38350   -114.91701801    -98.30198998  -1272.44932374
 0.06000      0.51576845    -30.19046532     -2.72181132 0.27000      0.08649173    -24.50026338     -2.25709341 0.39000    139.00848348    157.80238873   1489.34488014
 0.06100      0.24116492    -30.19810442     -2.75015568 0.27450     -0.90774645    -24.20200665     -2.32230972 0.39650   -154.93028717   -145.32994418  -1733.74379237
 0.06200     -0.03310800    -30.17830375     -2.77574254 0.27900     -1.87652001    -23.46379924     -2.34446750 0.40300    190.15977763    202.72917412   2027.15502879
 0.06300     -0.30680383    -30.13113610     -2.79857354 0.28350     -2.80233999    -22.30306458     -2.32355732 0.40950   -210.85841941   -210.31183728  -2362.15871687
 0.06400     -0.57967692    -30.05669883     -2.81865096 0.28800     -3.66865690    -20.74479599     -2.26033555 0.41600    258.36228679    263.91876004   2759.41342248
 0.06500     -0.85148267    -29.95511364     -2.83597791 0.29250     -4.46015865    -18.82103580     -2.15634389 0.42250   -288.43968636   -297.86290751  -3217.98368806
 0.06600     -1.12197781    -29.82652655     -2.85055846 0.29700     -5.16303646    -16.57022345     -2.01384066 0.42900    349.91408461    349.07410476   3756.65294992
 0.06700     -1.39092059    -29.67110764     -2.86239784 0.30150     -5.76522660    -14.03643807     -1.83578106 0.43550   -395.27689460   -414.45984657  -4383.31944781
 0.06800     -1.65807102    -29.48905090     -2.87150249 0.30600     -6.25661327    -11.26853988     -1.62573361 0.44200    473.58696844    468.36273955   5114.91417100
 0.06900     -1.92319110    -29.28057404     -2.87788019 0.31050     -6.62919807     -8.31923586     -1.38782885 0.44850   -541.55232322   -569.36181204  -5969.99596073
 0.07000     -2.18604505    -29.04591819     -2.88154018 0.31500     -6.87722586     -5.24408001     -1.12666260 0.45500    641.46775273    635.09326065   6964.94925497
 0.07100     -2.44639949    -28.78534773     -2.88249323 0.31950     -6.99727131     -2.10043327     -0.84722124 0.46150   -741.02586739   -775.79228703  -8130.35089583
 0.07200     -2.70402372    -28.49914994     -2.88075169 0.32400     -6.98827969      1.05360268     -0.55477581 0.46800    870.08425366    866.72282140   9484.76210147
 0.07300     -2.95868987    -28.18763474     -2.87632960 0.32850     -6.85156590      4.16025370     -0.25479245 0.47450  -1012.40848592  -1052.45191194 -11071.90022404
 0.07400     -3.21017314    -27.85113437     -2.86924272 0.33300     -6.59076860      7.16312759      0.04717713 0.48100   1181.93048289   1186.33235100  12916.69434098
 0.07500     -3.45825198    -27.49000304     -2.85950856 0.33750     -6.21176355     10.00823245      0.34559143 0.48750  -1381.23453258  -1425.47289685 -15077.30714130
 0.07600     -3.70270834    -27.10461658     -2.84714646 0.34200     -5.72253567     12.64494324      0.63502584 0.49400   1607.54791462   1624.73979591  17590.70320366
 0.07700     -3.94332781    -26.69537205     -2.83217759 0.34650     -5.13301469     15.02689714      0.91026625 0.50050  -1882.40129834  -1930.98171359 -20531.56579223
 0.07800     -4.17989983    -26.26268735     -2.81462498 0.35100     -4.45487580     17.11280380      1.16640636 0.50700   2188.37547425   2223.46766368  23956.07123945
 0.07900     -4.41221789    -25.80700084     -2.79451355 0.35550     -3.70131092     18.86715499      1.39893146 0.51350  -2563.60685034  -2618.51167987 -27959.01118621
 0.08000     -4.64007971    -25.32877082     -2.77187012 0.36000     -2.88677366     20.26082261      1.60380018 0.52000   2980.65517519   3038.84637040  32624.59686048
 0.08100     -4.86328740    -24.82847517     -2.74672340 0.36450     -2.02670393     21.27153438      1.77751193 0.52650  -3490.00421076  -3555.60545043 -38073.71284514
 0.08200     -5.08164766    -24.30661084     -2.71910403 0.36900     -1.13723665     21.88422016      1.91716799 0.53300   4060.78023960   4147.62819151  44429.41666064
 0.08300     -5.29497194    -23.76369334     -2.68904454 0.37350     -0.23490058     22.09122323      2.02051757 0.53950  -4750.50929049  -4834.07627363 -51848.09780414
 0.08400     -5.50307658    -23.20025630     -2.65657936 0.37800      0.66368758     21.89237437      2.08599454 0.54600   5532.60796778   5654.61930817  60505.11161833
 0.08500     -5.70578302    -22.61685091     -2.62174480 0.38250      1.54212773     21.29492806      2.11273882 0.55250  -6466.36283621  -6578.56643795 -70606.40218598
 0.08600     -5.90291790    -22.01404538     -2.58457905 0.38700      2.38453449     20.31336375      2.10060678 0.55900   7537.44411740   7703.02406454  82396.79412071
 0.08700     -6.09431324    -21.39242444     -2.54512216 0.39150      3.17582304     18.96905657      2.05016671 0.56550  -8802.76800033  -8958.26652560 -96151.93806690
 0.08800     -6.27980659    -20.75258872     -2.50341600 0.39600      3.90197793     17.28982502      1.96268267 0.57200  10267.65753557  10488.45500782 112208.65797350
 0.08900     -6.45924115    -20.09515423     -2.45950424 0.40050      4.55029975     15.30936471      1.84008470 0.57850 -11984.72555651 -12202.96105602-130940.41313046
 0.09000     -6.63246590    -19.42075173     -2.41343234 0.40500      5.10962580     13.06657981      1.68492801 0.58500  13985.22820903  14277.91953577 152806.26698075
 0.09100     -6.79933574    -18.73002616     -2.36524751 0.40950      5.57052039     10.60482506      1.50034027 0.59150 -16318.59642026 -16624.97431519-178315.96712351
 0.09200     -6.95971161    -18.02363602     -2.31499866 0.41400      5.92543209      7.97107331      1.28995967 0.59800  19047.00253936  19435.58247161 208092.02391887
 0.09300     -7.11346061    -17.30225274     -2.26273638 0.41850      6.16881503      5.21502413      1.05786355 0.60450 -22221.47457763 -22649.14517061-242832.61695005
 0.09400     -7.26045609    -16.56656003     -2.20851289 0.42300      6.29721240      2.38817066      0.80849014 0.61100  25939.07226221  26457.76892573 283380.29728811
 0.09500     -7.40057776    -15.81725329     -2.15238201 0.42750      6.30930109     -0.45715812      0.54655399 0.61750 -30261.20557302 -30853.71675450-330692.01093268
 0.09600     -7.53371182    -15.05503892     -2.09439910 0.43200      6.20589685     -3.26876185      0.27695742 0.62400  35323.57006211  36020.57516734 385908.26422702
 0.09700     -7.65975099    -14.28063363     -2.03462104 0.43650      5.98992030     -5.99552225      0.00469911 0.63050 -41210.90850516 -42026.06110435-450339.57159627
 0.09800     -7.77859467    -13.49476384     -1.97310615 0.44100      5.66632476     -8.58832837     -0.26521809 0.63700  48102.36986279  49044.68145044 525531.57518591
 0.09900     -7.89014894    -12.69816495     -1.90991417 0.44550      5.24198754    -11.00095683     -0.52787881 0.64350 -56123.25146976 -57238.57184363-613276.33007426
 0.10000     -7.99432669    -11.89158067     -1.84510618 0.45000      4.72556703    -13.19089140     -0.77854414 0.65000  65503.80760937  66783.62557595 715671.71332224
 0.10100     -8.09104769    -11.07576234     -1.77874457 0.45450      4.12732844    -15.12006752     -1.01273684 0.65650 -76431.62574101 -77951.98748589-835164.48750019
 0.10200     -8.18023858    -10.25146822     -1.71089299 0.45900      3.45894180    -16.75552872     -1.22632080 0.66300  89200.75510920  90944.05784880 974606.11680655
 0.10300     -8.26183301     -9.41946278     -1.64161625 0.46350      2.73325594    -18.06998381     -1.41557370 0.66950-104087.94544699-106156.04069267****************
 0.10400     -8.33577164     -8.58051603     -1.57098031 0.46800      1.96405309    -19.04225551     -1.57725136 0.67600 121471.39763712 123849.573550631327225.08094811
