          1.84000000          0.71501214         -0.35103738          0.62112024         -0.73566256
          1.85000000          0.71578238         -0.32962190          0.59335312         -0.72591368
          1.86000000          0.71637730         -0.30800002          0.56340514         -0.70979742
          1.87000000          0.71679774         -0.28619334          0.53140480         -0.68749009
          1.88000000          0.71704452         -0.26422352          0.49748783         -0.65922143
          1.89000000          0.71711852         -0.24211226          0.46179671         -0.62527238
          1.90000000          0.71702065         -0.21988126          0.42448000         -0.58597230
          1.91000000          0.71675182         -0.19755225          0.38569181         -0.54169585
          1.92000000          0.71631299         -0.17514694          0.34559115         -0.49285949
          1.93000000          0.71570513         -0.15268699          0.30434126         -0.43991757
          1.94000000          0.71492926         -0.13019401          0.26210905         -0.38335822
          1.95000000          0.71398640         -0.10768954          0.21906434         -0.32369885
          1.96000000          0.71287761         -0.08519503          0.17537926         -0.26148148
          1.97000000          0.71160397         -0.06273179          0.13122755         -0.19726786
          1.98000000          0.71016660         -0.04032102          0.08678388         -0.13163446
          1.99000000          0.70856661         -0.01798379          0.04222318         -0.06516734
          2.00000000          0.70680518          0.00425905         -0.00228003          0.00154305
          2.01000000          0.70488349          0.02638679         -0.04655232          0.06790708
          2.02000000          0.70280275          0.04837894         -0.09042202          0.13334106
          2.03000000          0.70056419          0.07021524         -0.13371983          0.19727238
          2.04000000          0.69816907          0.09187566         -0.17627954          0.25914446
          2.05000000          0.69561867          0.11334043         -0.21793857          0.31842155
          2.06000000          0.69291430          0.13459006         -0.25853864          0.37459335
          2.07000000          0.69005730          0.15560533         -0.29792636          0.42717934
          2.08000000          0.68704900          0.17636735         -0.33595373          0.47573288
          2.09000000          0.68389080          0.19685753         -0.37247878          0.51984494
          2.10000000          0.68058408          0.21705764         -0.40736603          0.55914755
          2.11000000          0.67713029          0.23694977         -0.44048700          0.59331680
          2.12000000          0.67353085          0.25651643         -0.47172067          0.62207550
          2.13000000          0.66978723          0.27574045         -0.50095392          0.64519537
          2.14000000          0.66590094          0.29460511         -0.52808193          0.66249888
          2.15000000          0.66187347          0.31309405         -0.55300854          0.67386048
          2.16000000          0.65770637          0.33119139         -0.57564657          0.67920754
          2.17000000          0.65340118          0.34888163         -0.59591818          0.67852071
          2.18000000          0.64895948          0.36614975         -0.61375503          0.67183387
          2.19000000          0.64438286          0.38298119         -0.62909859          0.65923355
          2.20000000          0.63967294          0.39936185         -0.64190027          0.64085799
          2.21000000          0.63483136          0.41527812         -0.65212158          0.61689562
          2.22000000          0.62985977          0.43071687         -0.65973426          0.58758326
          2.23000000          0.62475984          0.44566549         -0.66472028          0.55320377
          2.24000000          0.61953327          0.46011189         -0.66707194          0.51408335
          2.25000000          0.61418176          0.47404447         -0.66679181          0.47058854
          2.26000000          0.60870705          0.48745218         -0.66389266          0.42312277
          2.27000000          0.60311089          0.50032452         -0.65839744          0.37212266
          2.28000000          0.59739504          0.51265152         -0.65033907          0.31805406
          2.29000000          0.59156128          0.52442376         -0.63976029          0.26140780
          2.30000000          0.58561140          0.53563239         -0.62671349          0.20269530
          2.31000000          0.57954724          0.54626913         -0.61126041          0.14244396
          2.32000000          0.57337061          0.55632626         -0.59347193          0.08119243
          2.33000000          0.56708338          0.56579664         -0.57342767          0.01948591
          2.34000000          0.56068738          0.57467371         -0.55121572         -0.04212878
          2.35000000          0.55418452          0.58295149         -0.52693223         -0.10310792
          2.36000000          0.54757668          0.59062461         -0.50068101         -0.16291572
          2.37000000          0.54086576          0.59768826         -0.47257310         -0.22102898
          2.38000000          0.53405369          0.60413824         -0.44272629         -0.27694163
          2.39000000          0.52714240          0.60997094         -0.41126466         -0.33016913
          2.40000000          0.52013384          0.61518336         -0.37831806         -0.38025261
          2.41000000          0.51302997          0.61977306         -0.34402161         -0.42676283
          2.42000000          0.50583276          0.62373823         -0.30851509         -0.46930385
          2.43000000          0.49854420          0.62707764         -0.27194244         -0.50751631
          2.44000000          0.49116628          0.62979067         -0.23445119         -0.54108051
          2.45000000          0.48370101          0.63187728         -0.19619181         -0.56971904
          2.46000000          0.47615041          0.63333801         -0.15731717         -0.59319903
          2.47000000          0.46851651          0.63417401         -0.11798192         -0.61133405
          2.48000000          0.46080134          0.63438701         -0.07834189         -0.62398555
          2.49000000          0.45300696          0.63397931         -0.03855345         -0.63106387
          2.50000000          0.44513542          0.63295380          0.00122704         -0.63252888
          2.51000000          0.43718879          0.63131394          0.04084391         -0.62839007
          2.52000000          0.42916914          0.62906374          0.08014272         -0.61870634
          2.53000000          0.42107855          0.62620780          0.11897088         -0.60358525
          2.54000000          0.41291911          0.62275125          0.15717824         -0.58318187
          2.55000000          0.40469293          0.61869979          0.19461767         -0.55769727
          2.56000000          0.39640210          0.61405963          0.23114559         -0.52737653
          2.57000000          0.38804873          0.60883755          0.26662254         -0.49250643
          2.58000000          0.37963494          0.60304083          0.30091370         -0.45341276
